model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
43119,Not Fit,14,1,1,16,8,8,16,183235,39720,399
22566,Not Fit,15,2,2,8,8,8,131,79254,28834.3333333333,279.666666666667
19929,Not Fit,15,2,2,8,16,8,131,79255.6666666667,28848,280
32951,Not Fit,14,2,2,16,8,8,188,111849.5,37192,408
39435,Not Fit,14,2,2,16,8,16,489,286843,87131,1072
22565,Not Fit,14,2,2,16,8,8,188,111851.666666667,37190,408
19928,Not Fit,14,2,2,16,16,8,188,111854.2,37193,408
38236,Not Fit,15,4,4,8,8,8,75,53523.6,19831.8,152
48751,Not Fit,15,4,4,8,16,8,75,54090,19837,152
12513,Not Fit,15,4,4,8,32,8,75,51273.8333333333,19836.8333333333,152
19516,Not Fit,14,4,4,16,8,8,103,71933,23645.75,216
15735,Not Fit,14,4,4,16,8,16,261,182010,57545,560
41662,Not Fit,14,4,4,16,8,32,748,509552,155238,1632
3419,Not Fit,14,4,4,16,8,8,103,70951.6666666667,23647,216
17789,Not Fit,15,4,4,16,8,16,261,182009.833333333,57545.5,560
27405,Not Fit,14,4,4,16,16,8,103,71424,23647,216
12471,Not Fit,14,4,4,16,16,16,261,174504,57549.5,560
48750,Not Fit,14,4,4,16,16,8,103,70015.5,23647,216
25541,Not Fit,15,4,4,16,16,16,261,174504,57551,560
12512,Not Fit,14,4,4,16,32,8,103,67199.8571428571,23649.4285714286,216
38235,Not Fit,14,4,4,32,8,8,160,100004,32127,344
32045,Not Fit,14,4,4,32,16,8,160,100007,32129,344
16332,Not Fit,8,4,4,32,32,8,160,100006.666666667,32131,344
674,Not Fit,15,16,16,8,8,8,31,28343.4444444444,9925,56
2518,Not Fit,15,16,16,8,16,8,31,28364.8571428571,9927.57142857143,56
13295,Not Fit,15,16,16,8,32,8,31,28322.2105263158,9928.84210526316,56
4142,Not Fit,9,16,16,8,64,8,31,28275.7142857143,9930.78571428571,56
10281,Not Fit,9,16,16,8,128,8,31,28240,9933,56
27101,Not Fit,14,16,16,16,8,8,38,29759,11497.4,72
32999,Not Fit,14,16,16,16,8,16,91,61185.4,24328.4,176
3392,Not Fit,14,16,16,16,8,32,236,186398.666666667,66243,480
25201,Not Fit,14,16,16,16,8,8,38,29762.4,11483,72
18041,Not Fit,15,16,16,16,8,16,91,61624,24293.375,176
33553,Not Fit,14,16,16,16,8,32,236,190324,66243,480
42633,Not Fit,15,16,16,16,8,16,91,61451.2,24293.6,176
30400,Not Fit,14,16,16,16,16,8,38,29762,11500,72
2178,Not Fit,14,16,16,16,16,16,91,61197.5,24326.75,176
27553,Not Fit,14,16,16,16,16,32,236,177014.75,66244.25,480
22012,Not Fit,14,16,16,16,16,8,38,29815,11484,72
37630,Not Fit,15,16,16,16,16,16,91,61659,24294.625,176
19296,Not Fit,14,16,16,16,16,32,236,186401.666666667,66245,480
7476,Not Fit,15,16,16,16,16,16,91,61360.3333333333,24294,176
28589,Not Fit,8,16,16,16,32,8,38,29762,11502,72
44992,Not Fit,8,16,16,16,32,16,91,61174.75,24342.75,176
13449,Not Fit,8,16,16,16,32,32,236,171383,66247,480
26344,Not Fit,8,16,16,16,32,8,38,29731.5714285714,11486.5714285714,72
14689,Not Fit,9,16,16,16,32,16,91,61419,24298.125,176
22038,Not Fit,8,16,16,16,32,32,236,171383,66248.5,480
37523,Not Fit,9,16,16,16,32,16,91,61243,24297,176
43765,Not Fit,14,16,16,16,32,8,38,29762,11502.4,72
5420,Not Fit,14,16,16,16,32,16,91,61182.3333333333,24338.3333333333,176
40665,Not Fit,14,16,16,16,32,32,236,171383,66247,480
48436,Not Fit,14,16,16,16,32,8,38,29751,11487,72
40452,Not Fit,15,16,16,16,32,16,91,61360.3333333333,24298.5,176
6098,Not Fit,14,16,16,16,32,32,236,171383,66247,480
20977,Not Fit,15,16,16,16,32,16,91,61360.3333333333,24298,176
17599,Not Fit,5,16,16,16,64,8,38,29730.4444444444,11497.3333333333,72
8285,Not Fit,6,16,16,16,64,16,91,61243,24301,176
45887,Not Fit,8,16,16,16,64,8,38,29762,11504,72
8017,Not Fit,8,16,16,16,64,16,91,61243,24300.5,176
23307,Not Fit,8,16,16,16,64,8,38,29669,11488.25,72
18253,Not Fit,9,16,16,16,64,16,91,61243,24301,176
29029,Not Fit,8,16,16,16,128,8,38,29706.5,11498.5,72
33554,Not Fit,15,16,16,32,8,32,293,222824.75,78938.25,608
8183,Not Fit,14,16,16,32,8,8,53,38164,15342,104
12444,Not Fit,14,16,16,32,8,16,119,77619.3333333333,32867.8333333333,240
41954,Not Fit,14,16,16,32,8,32,293,217397.8,78939.6,608
673,Not Fit,14,16,16,32,8,8,53,38145,15327,104
42634,Not Fit,14,16,16,32,8,16,119,77891.2,32830,240
13115,Not Fit,15,16,16,32,8,32,293,203881,78939,608
19297,Not Fit,15,16,16,32,16,32,293,218902.333333333,78940,608
6056,Not Fit,14,16,16,32,16,8,53,38167,15344,104
41793,Not Fit,14,16,16,32,16,16,119,77637.5,32860,240
6852,Not Fit,14,16,16,32,16,32,293,211393.333333333,78942,608
2517,Not Fit,14,16,16,32,16,8,53,38148,15329,104
7477,Not Fit,14,16,16,32,16,16,119,77800.3333333333,32831,240
22039,Not Fit,9,16,16,32,32,32,293,203884,78943,608
9347,Not Fit,8,16,16,32,32,8,53,38167,15346,104
2325,Not Fit,8,16,16,32,32,16,119,77622.3333333333,32872.3333333333,240
37084,Not Fit,8,16,16,32,32,32,293,203884,78943,608
1957,Not Fit,8,16,16,32,32,8,53,38152.8,15331,104
37524,Not Fit,8,16,16,32,32,16,119,77683,32832.5,240
6099,Not Fit,15,16,16,32,32,32,293,203884,78943,608
