layer_name,reuse_factor,sequence_length,cnn_filters,cnn_in,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
conv1d_13344,1,256,16,1,21173.0691538461,4195.37762820513,0.0,49.228,1548.0,2496.48
conv1d_13344,3,256,16,1,5927.37695238095,2816.08285714286,3.13,18.504,1548.0,3096.66
conv1d_13344,6,256,16,1,29523.9950462608,10009.218544624,41.7,91.84,1548.0,3108.52
conv1d_13344,12,256,16,1,5607.9766023163,2164.4120604022,0.5,6.4,1548.0,5643.12
conv1d_13344,24,256,16,1,2849.35083901115,1456.74531160394,0.46,2.38,1548.0,7074.72
conv1d_13344,48,256,16,1,2148.66042303261,1043.9,0.01,1.01,1548.0,14741.28
conv1d_13345,24,128,16,16,13507.0,6280.18978840586,14.0,32.0,396.0,2244.0
conv1d_13345,48,128,16,16,5505.94409740317,3564.90093742638,7.0,16.0,396.0,3828.0
conv1d_13345,96,128,16,16,4936.80093920301,2921.06396976487,4.0,8.0,396.0,6996.0
conv1d_13345,384,128,16,16,3322.88096101346,2440.53140844531,2.0,2.0,396.0,26004.0
conv1d_13346,1,64,16,16,173439.060469697,30794.5840757576,1.71,333.260833333333,75.3,92.3
conv1d_13346,2,64,16,16,98062.830277109,32013.4353587289,171.0,384.0,204.0,374.0
conv1d_13346,3,64,16,16,31530.9999086435,10825.9828988867,49.55,122.4,204.0,374.0
conv1d_13346,4,64,16,16,54200.852940116,17683.5588203481,86.0,192.0,204.0,442.0
conv1d_13346,6,64,16,16,54200.852940116,17683.5588203481,86.0,192.0,204.0,442.0
conv1d_13346,8,64,16,16,54200.852940116,17683.5588203481,86.0,192.0,204.0,442.0
conv1d_13346,12,64,16,16,10998.373719832,5223.95746350941,10.28,26.56,204.0,918.0
conv1d_13346,16,64,16,16,18206.0,9001.31675112703,22.0,48.0,204.0,918.0
conv1d_13346,24,64,16,16,13507.0,6278.39634745443,14.0,32.0,204.0,1156.0
conv1d_13346,48,64,16,16,5501.41193897222,3562.66505663509,7.0,16.0,204.0,1972.0
conv1d_13346,96,64,16,16,4936.72306780881,2918.86087170294,4.0,8.0,204.0,3604.0
conv1d_13346,192,64,16,16,4936.72306780881,2918.86087170294,4.0,8.0,204.0,3604.0
conv1d_13346,384,64,16,16,3320.19440393498,2438.36488821808,2.0,2.0,204.0,13396.0
conv1d_13346,768,64,16,16,3320.19440393498,2438.36488821808,2.0,2.0,204.0,13396.0
