layer_name,reuse_factor,dense_size,n_in,sequence_length,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
dense_7,8,76,192,1,992750.0776554915,192614.93607166037,844.06,1899.52,18.250774114774114,19.250774114774114
dense_7,12,76,192,1,274971.2141124925,55552.631475000206,228.0,512.0,32.52590000087109,33.52590000087109
dense_7,16,76,192,1,274971.2141124925,55552.631475000206,228.0,512.0,32.52590000087109,33.52590000087109
dense_7,24,76,192,1,274971.2141124925,55552.631475000206,228.0,512.0,32.52590000087109,33.52590000087109
dense_7,32,76,192,1,141210.33936976254,38402.8017573982,114.0,256.0,50.20702959275302,51.207029592753024
dense_7,48,76,192,1,141210.33936976254,38402.8017573982,114.0,256.0,50.20702959275302,51.207029592753024
dense_7,64,76,192,1,73750.8194797976,25797.903783194273,57.0,128.0,82.61513277708751,83.61513277708751
dense_7,96,76,192,1,73750.8194797976,25797.903783194273,57.0,128.0,82.61513277708751,83.61513277708751
dense_7,192,76,192,1,23001.13015695871,16534.77883603019,29.0,64.0,145.1153441207302,146.1153441207302
dense_7,384,76,192,1,24439.18469954457,13457.806240592909,8.0,16.0,531.2249623716427,532.2249623716427
dense_7,768,76,192,1,24439.18469954457,13457.806240592909,8.0,16.0,531.2249623716427,532.2249623716427
dense_7,3648,76,192,1,24439.18469954457,13457.806240592909,8.0,16.0,531.2249623716427,532.2249623716427
dense_7,7296,76,192,1,24439.18469954457,13457.806240592909,8.0,16.0,531.2249623716427,532.2249623716427
dense_7,14592,76,192,1,24439.18469954457,13457.806240592909,8.0,16.0,531.2249623716427,532.2249623716427
dense_8,4,76,76,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_8,19,76,76,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_8,38,76,76,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_8,76,76,76,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_8,152,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_8,304,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_8,1444,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_8,2888,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_8,5776,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_9,4,76,76,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_9,19,76,76,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_9,38,76,76,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_9,76,76,76,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_9,152,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_9,304,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_9,1444,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_9,2888,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_9,5776,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_10,4,76,76,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_10,19,76,76,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_10,38,76,76,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_10,76,76,76,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_10,152,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_10,304,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_10,1444,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_10,2888,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_10,5776,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_11,4,76,76,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_11,19,76,76,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_11,38,76,76,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_11,76,76,76,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_11,152,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_11,304,76,76,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_11,1444,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_11,2888,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_11,5776,76,76,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_12,1,1,76,1,146065.79395833335,34024.14565476191,39.89,364.84,45.3056,44.7756
dense_12,2,1,76,1,59323.63026785714,30872.373392857142,76.37,370.28,9.0296,10.0296
dense_12,4,1,76,1,19374.89,8617.04755952381,12.54,44.8,9.2,10.2
dense_12,19,1,76,1,5210.0,4697.56937604006,0.0,4.0,21.0,22.0
dense_12,38,1,76,1,4159.0,4471.97387061372,0.0,2.0,37.0,38.0
dense_12,76,1,76,1,3582.0,4345.0,0.0,1.0,69.0,70.0
