layer_name,reuse_factor,sequence_length,cnn_filters,cnn_in,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
conv1d_24620,1,512,16,1,21173.069153846136,4195.3776282051285,0.0,49.22799999999996,3084.0,6941.6
conv1d_24620,3,512,16,1,5799.408428571428,2894.544285714286,2.71,18.184,3084.0,6941.6
conv1d_24620,6,512,16,1,27999.77714285714,10294.349642857145,44.0,93.6,3084.0,6276.0
conv1d_24620,12,512,16,1,5442.298310238872,1971.5142976406535,0.76,5.6,3084.0,11039.36
conv1d_24620,24,512,16,1,2887.7749543041114,1481.448325871497,0.42,3.0,3084.0,14168.48
conv1d_24620,48,512,16,1,2126.8772932071824,1045.94,0.0,1.01,3084.0,29663.52
conv1d_24621,1,256,16,16,172000.05149999997,31351.334666666673,1.71,355.10666666666674,780.0,1460.56
conv1d_24621,2,256,16,16,98062.99888888888,32017.912666666667,171.0,383.9975555555556,780.0,1435.2
conv1d_24621,3,256,16,16,32929.00046055966,10605.265342251681,45.7,120.32,780.0,1435.2
conv1d_24621,4,256,16,16,54200.69418432355,17687.082552970678,86.0,192.0,780.0,1690.0
conv1d_24621,6,256,16,16,54200.69418432355,17687.082552970678,86.0,192.0,780.0,1690.0
conv1d_24621,8,256,16,16,54200.69418432355,17687.082552970678,86.0,192.0,780.0,1690.0
conv1d_24621,12,256,16,16,11724.797927842203,5164.90821270414,10.02,28.0,780.0,4528.08
conv1d_24621,16,256,16,16,18206.0,9005.184945401363,22.0,48.0,780.0,3510.0
conv1d_24621,24,256,16,16,13507.0,6282.346801533442,14.0,32.0,780.0,4420.0
conv1d_24621,48,256,16,16,5507.886382668994,3566.9464464524185,7.0,16.0,780.0,7540.0
conv1d_24621,96,256,16,16,4936.766390659671,2923.131233351858,4.0,8.0,780.0,13780.0
conv1d_24621,192,256,16,16,4936.766390659671,2923.131233351858,4.0,8.0,780.0,13780.0
conv1d_24621,384,256,16,16,3326.934882030745,2442.473770816039,2.0,2.0,780.0,51220.0
conv1d_24621,768,256,16,16,3326.934882030745,2442.473770816039,2.0,2.0,780.0,51220.0
conv1d_24622,1,128,16,16,173649.9215289855,31351.295536231886,1.71,355.1057971014493,132.39,162.20833333333334
conv1d_24622,2,128,16,16,98062.74584964603,32014.022144531133,171.0,383.93469629347004,396.0,726.0
conv1d_24622,3,128,16,16,33014.3498499207,10639.664153862977,46.12,120.47888888888889,396.0,780.8
conv1d_24622,4,128,16,16,54201.06677904824,17685.24095376604,86.0,192.0,396.0,858.0
conv1d_24622,6,128,16,16,54201.06677904824,17685.24095376604,86.0,192.0,396.0,858.0
conv1d_24622,8,128,16,16,54201.06677904824,17685.24095376604,86.0,192.0,396.0,858.0
conv1d_24622,12,128,16,16,11660.905377280667,5173.686107760761,10.02,28.0,396.0,2337.68
conv1d_24622,16,128,16,16,18206.0,9003.247207373244,22.0,48.0,396.0,1782.0
conv1d_24622,24,128,16,16,13507.0,6280.189618067853,14.0,32.0,396.0,2244.0
conv1d_24622,48,128,16,16,5505.19504694275,3564.9198012215056,7.0,16.0,396.0,3828.0
conv1d_24622,96,128,16,16,4935.3037540264495,2921.0622128627606,4.0,8.0,396.0,6996.0
conv1d_24622,192,128,16,16,4935.3037540264495,2921.0622128627606,4.0,8.0,396.0,6996.0
conv1d_24622,384,128,16,16,3321.3159831215808,2440.525686571556,2.0,2.0,396.0,26004.0
conv1d_24622,768,128,16,16,3321.3159831215808,2440.525686571556,2.0,2.0,396.0,26004.0
conv1d_24623,1,64,16,16,173440.59213636364,30794.502409090903,1.71,333.24416666666673,75.3,92.3
conv1d_24623,2,64,16,16,98062.83047063937,32013.43608452185,171.0,384.0,204.0,374.0
conv1d_24623,3,64,16,16,33014.2258375733,10638.84017583806,46.12,120.48,204.0,374.0
conv1d_24623,4,64,16,16,54200.85277136895,17683.558314106907,86.0,192.0,204.0,442.0
conv1d_24623,6,64,16,16,54200.85277136895,17683.558314106907,86.0,192.0,204.0,442.0
conv1d_24623,8,64,16,16,54200.85277136895,17683.558314106907,86.0,192.0,204.0,442.0
conv1d_24623,12,64,16,16,11660.905377280667,5172.790302241052,10.02,28.0,204.0,918.0
conv1d_24623,16,64,16,16,18206.0,9001.317192535707,22.0,48.0,204.0,918.0
conv1d_24623,24,64,16,16,13507.0,6278.3966953867475,14.0,32.0,204.0,1156.0
conv1d_24623,48,64,16,16,5502.876250573125,3562.656232331582,7.0,16.0,204.0,1972.0
conv1d_24623,96,64,16,16,4936.145928149865,2918.896459828463,4.0,8.0,204.0,3604.0
conv1d_24623,192,64,16,16,4936.145928149865,2918.896459828463,4.0,8.0,204.0,3604.0
conv1d_24623,384,64,16,16,3319.7736258934283,2438.37560525072,2.0,2.0,204.0,13396.0
conv1d_24623,768,64,16,16,3319.7736258934283,2438.37560525072,2.0,2.0,204.0,13396.0
