layer_name,reuse_factor,sequence_length,lstm_size,n_in,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
lstm_11014,1,32,32,16,384429.47,122311.43614285714,561.09,1229.44,1072.36,1104.36
lstm_11014,2,32,32,16,384429.47,122311.43614285714,561.09,1229.44,1072.36,1104.36
lstm_11014,4,32,32,16,384429.47,122311.43614285714,558.56,1207.36,1072.36,1104.36
lstm_11014,8,32,32,16,384429.47,122311.43614285714,558.56,1207.36,1072.36,1104.36
lstm_11014,16,32,32,16,171533.18666666668,66247.30817857143,236.0,480.0,1376.9133333333334,1408.9133333333334
lstm_11014,32,32,32,16,116661.67805555573,44440.070027777765,151.0,288.0,1915.6090158730142,1947.6090158730142
lstm_11014,64,32,32,16,114746.4461944444,35845.08090476191,108.0,192.0,2966.7261968253965,2998.7261968253965
lstm_11014,128,32,32,16,101253.0375839286,29312.796978869043,86.0,144.0,4982.315828571428,5014.315828571428
lstm_11014,256,32,32,16,101253.0375839286,29312.796978869043,86.0,144.0,10119.185191836737,10158.440968707484
lstm_11014,512,32,32,16,75618.95896292516,32791.5528489796,73.0,108.0,17268.42509931974,17300.42509931974
lstm_11014,1024,32,32,16,75618.95896292516,32791.5528489796,73.0,108.0,17268.42509931974,17300.42509931974
lstm_11014,2048,32,32,16,75618.95896292516,32791.5528489796,73.0,108.0,17268.42509931974,17300.42509931974
lstm_11015,2,32,32,32,396519.7311,127008.80970000001,581.61,1271.68,1495.72,1527.72
lstm_11015,4,32,32,32,396519.7311,127008.80970000001,579.65,1252.16,1495.72,1527.72
lstm_11015,8,32,32,32,396519.7311,127008.80970000001,579.65,1252.16,1495.72,1527.72
lstm_11015,16,32,32,32,204436.9894333333,78942.8697,293.0,608.0,1634.0636190476187,1666.0636190476187
lstm_11015,32,32,32,32,122341.65963095234,48481.588380952395,179.0,352.0,2137.106285714287,2169.106285714287
lstm_11015,64,32,32,32,110819.44991137552,38622.7027384444,123.0,224.0,3194.782700913902,3226.782700913902
lstm_11015,128,32,32,32,119861.87527777778,31280.8451264881,93.0,160.0,5249.0,5281.0
lstm_11015,256,32,32,32,119861.87527777778,31280.8451264881,93.0,160.0,10239.72,10294.76
lstm_11015,512,32,32,32,76574.86036171237,25852.68747878469,75.0,112.0,17536.85777777778,17568.85777777778
lstm_11015,1024,32,32,32,76574.86036171237,25852.68747878469,75.0,112.0,17536.85777777778,17568.85777777778
lstm_11015,2048,32,32,32,76574.86036171237,25852.68747878469,75.0,112.0,17536.85777777778,17568.85777777778
lstm_11015,4096,32,32,32,76574.86036171237,25852.68747878469,75.0,112.0,17536.85777777778,17568.85777777778
