model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
43118,Not Fit,2,1,1,16,1,128,135,135
19002,Not Fit,5,1,1,16,16,128,93,93
19004,Not Fit,8,1,1,16,16,64,61,61
19003,Not Fit,11,1,1,16,16,32,45,45
43115,Not Fit,5,1,1,16,16,128,93,93
43116,Not Fit,8,1,1,16,16,64,61,61
43114,Not Fit,11,1,1,16,16,32,45,45
22565,Not Fit,2,2,1,16,1,128,780,1040
19928,Not Fit,2,2,1,16,1,256,1548,2064
29531,Not Fit,5,2,2,16,16,128,396,726
29530,Not Fit,8,2,2,16,16,64,204,374
29532,Not Fit,11,2,2,16,16,32,108,198
16929,Not Fit,5,2,2,16,16,128,396,726
16930,Not Fit,8,2,2,16,16,64,204,374
16931,Not Fit,11,2,2,16,16,32,108,198
8981,Not Fit,5,2,2,16,16,128,396,726
8982,Not Fit,8,2,2,16,16,64,204,374
8983,Not Fit,11,2,2,16,16,32,108,198
49187,Not Fit,5,2,2,16,16,128,396,726
49189,Not Fit,8,2,2,16,16,64,204,374
49188,Not Fit,11,2,2,16,16,32,108,198
30543,Not Fit,5,2,2,16,16,128,396,726
30542,Not Fit,8,2,2,16,16,64,204,374
30544,Not Fit,11,2,2,16,16,32,108,198
47800,Not Fit,5,2,2,16,16,128,396,726
47801,Not Fit,8,2,2,16,16,64,204,374
47802,Not Fit,11,2,2,16,16,32,108,198
16212,Not Fit,5,2,2,16,16,128,396,726
16214,Not Fit,8,2,2,16,16,64,204,374
16213,Not Fit,11,2,2,16,16,32,108,198
1389,Not Fit,5,2,2,16,16,128,396,726
1390,Not Fit,8,2,2,16,16,64,204,374
1391,Not Fit,11,2,2,16,16,32,108,198
32947,Not Fit,5,2,2,16,16,128,396,726
32946,Not Fit,8,2,2,16,16,64,204,374
32948,Not Fit,11,2,2,16,16,32,108,198
39430,Not Fit,5,2,2,16,16,128,396,726
39431,Not Fit,8,2,2,16,16,64,204,374
39432,Not Fit,11,2,2,16,16,32,108,198
18755,Not Fit,5,2,2,16,16,128,396,726
18753,Not Fit,8,2,2,16,16,64,204,374
18754,Not Fit,11,2,2,16,16,32,108,198
27706,Not Fit,5,2,2,16,16,128,396,726
27705,Not Fit,8,2,2,16,16,64,204,374
27707,Not Fit,11,2,2,16,16,32,108,198
22559,Not Fit,5,2,2,16,16,128,396,726
22558,Not Fit,8,2,2,16,16,64,204,374
22560,Not Fit,11,2,2,16,16,32,108,198
36985,Not Fit,5,2,2,16,16,256,780,1430
36987,Not Fit,8,2,2,16,16,128,396,726
36986,Not Fit,11,2,2,16,16,64,204,374
8446,Not Fit,5,2,2,16,16,256,780,1430
8447,Not Fit,8,2,2,16,16,128,396,726
8448,Not Fit,11,2,2,16,16,64,204,374
46855,Not Fit,5,2,2,16,16,256,780,1430
46856,Not Fit,8,2,2,16,16,128,396,726
46857,Not Fit,11,2,2,16,16,64,204,374
31956,Not Fit,5,2,2,16,16,256,780,1430
31957,Not Fit,8,2,2,16,16,128,396,726
