model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_latency,n_inputs_latency,sequence_length_latency,reuse_factor_1,n_inputs_latency_1,lstm_size,latency_min,latency_max
43117,Not Fit,14,1,1,16,8,1,16,8,209,209
22561,Not Fit,15,2,2,8,8,2,8,8,201,209
19926,Not Fit,15,2,2,8,16,2,8,8,401,417
32945,Not Fit,14,2,2,16,8,2,16,8,257,265
39428,Not Fit,14,2,2,16,8,2,16,16,257,265
22557,Not Fit,14,2,2,16,8,2,16,8,257,265
19922,Not Fit,14,2,2,16,16,2,16,8,513,529
38231,Not Fit,15,4,4,8,8,4,8,8,217,225
48749,Not Fit,15,4,4,8,16,4,8,8,433,449
12510,Not Fit,15,4,4,8,32,4,8,8,865,897
19508,Not Fit,14,4,4,16,8,4,16,8,265,273
15726,Not Fit,14,4,4,16,8,4,16,16,265,273
41655,Not Fit,14,4,4,16,8,4,16,32,265,273
3414,Not Fit,14,4,4,16,8,4,16,8,265,273
17779,Not Fit,15,4,4,16,8,4,16,16,265,273
27400,Not Fit,14,4,4,16,16,4,16,8,529,545
12463,Not Fit,14,4,4,16,16,4,16,16,529,545
48745,Not Fit,14,4,4,16,16,4,16,8,529,545
25536,Not Fit,15,4,4,16,16,4,16,16,529,545
12506,Not Fit,14,4,4,16,32,4,16,8,1057,1089
38229,Not Fit,14,4,4,32,8,4,32,8,385,393
32043,Not Fit,14,4,4,32,16,4,32,8,769,785
16329,Not Fit,8,4,4,32,32,4,32,8,1537,1569
672,Not Fit,15,16,16,8,8,16,8,8,321,329
2516,Not Fit,15,16,16,8,16,16,8,8,641,657
13290,Not Fit,15,16,16,8,32,16,8,8,1281,1313
4137,Not Fit,9,16,16,8,64,16,8,8,2561,2625
10276,Not Fit,9,16,16,8,128,16,8,8,5121,5249
27096,Not Fit,14,16,16,16,8,16,16,8,345,353
32991,Not Fit,14,16,16,16,8,16,16,16,340.2,348.2
3383,Not Fit,14,16,16,16,8,16,16,32,345,353
25196,Not Fit,14,16,16,16,8,16,16,8,353,361
18036,Not Fit,15,16,16,16,8,16,16,16,345,353
33546,Not Fit,14,16,16,16,8,16,16,32,345,353
42629,Not Fit,15,16,16,16,8,16,16,16,345,353
30395,Not Fit,14,16,16,16,16,16,16,8,689,705
2173,Not Fit,14,16,16,16,16,16,16,16,681,697
27545,Not Fit,14,16,16,16,16,16,16,32,689,705
22007,Not Fit,14,16,16,16,16,16,16,8,705,721
37625,Not Fit,15,16,16,16,16,16,16,16,689,705
19288,Not Fit,14,16,16,16,16,16,16,32,689,705
7472,Not Fit,15,16,16,16,16,16,16,16,689,705
28583,Not Fit,8,16,16,16,32,16,16,8,1377,1409
44986,Not Fit,8,16,16,16,32,16,16,16,1353,1385
13445,Not Fit,8,16,16,16,32,16,16,32,1377,1409
26338,Not Fit,8,16,16,16,32,16,16,8,1409,1441
14682,Not Fit,9,16,16,16,32,16,16,16,1377,1409
22033,Not Fit,8,16,16,16,32,16,16,32,1377,1409
37521,Not Fit,9,16,16,16,32,16,16,16,1377,1409
43760,Not Fit,14,16,16,16,32,16,16,8,1377,1409
5412,Not Fit,14,16,16,16,32,16,16,16,1355.66666666667,1387.66666666667
40659,Not Fit,14,16,16,16,32,16,16,32,1377,1409
48428,Not Fit,14,16,16,16,32,16,16,8,1409,1441
40443,Not Fit,15,16,16,16,32,16,16,16,1377,1409
6091,Not Fit,14,16,16,16,32,16,16,32,1377,1409
20975,Not Fit,15,16,16,16,32,16,16,16,1377,1409
17594,Not Fit,5,16,16,16,64,16,16,8,2781.44444444444,2845.44444444444
8283,Not Fit,6,16,16,16,64,16,16,16,2753,2817
