model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
43116,Not Fit,2,1,1,1,16,128,0,9867,2062.5,26
19002,Not Fit,5,1,1,16,16,128,0,174851,31473,355
19003,Not Fit,8,1,1,16,16,64,0,173722,30752,336
19001,Not Fit,11,1,1,16,16,32,0,174070,31297,361
43114,Not Fit,5,1,1,16,16,128,0,174051,31382,361
43115,Not Fit,8,1,1,16,16,64,0,174641,30703,326
43113,Not Fit,11,1,1,16,16,32,0,174268,31319,346
22559,Not Fit,2,2,1,1,16,128,0,9583.84615384615,2161.53846153846,26
19924,Not Fit,2,2,1,1,16,256,0,9597.2,2177,26.4
29530,Not Fit,5,2,2,16,16,128,171,98062,32013,384
29531,Not Fit,8,2,2,16,16,64,171,98063,32014,384
29529,Not Fit,11,2,2,16,16,32,171,98062,32009,384
16929,Not Fit,5,2,2,16,16,128,171,98063,32016,384
16930,Not Fit,8,2,2,16,16,64,171,98062,32011,384
16928,Not Fit,11,2,2,16,16,32,171,98061,32004,384
8981,Not Fit,5,2,2,16,16,128,171,98063,32016,384
8982,Not Fit,8,2,2,16,16,64,171,98063,32014,384
8980,Not Fit,11,2,2,16,16,32,171,98062,32009,384
49187,Not Fit,5,2,2,16,16,128,171,98063,32016,384
49188,Not Fit,8,2,2,16,16,64,171,98062,32010,384
49186,Not Fit,11,2,2,16,16,32,171,98063,32012,384
30542,Not Fit,5,2,2,16,16,128,171,98062,32012,384
30543,Not Fit,8,2,2,16,16,64,171,98063,32014,384
30541,Not Fit,11,2,2,16,16,32,171,98062,32009,384
47800,Not Fit,5,2,2,16,16,128,171,98063,32016,384
47801,Not Fit,8,2,2,16,16,64,171,98063,32014,384
47799,Not Fit,11,2,2,16,16,32,171,98063,32012,384
16212,Not Fit,5,2,2,16,16,128,171,98063,32016,384
16213,Not Fit,8,2,2,16,16,64,171,98062,32011,384
16211,Not Fit,11,2,2,16,16,32,171,98063,32012,384
1388,Not Fit,5,2,2,16,16,128,171,98063,32016,384
1389,Not Fit,8,2,2,16,16,64,171,98063,32014,384
1387,Not Fit,11,2,2,16,16,32,171,98062,32009,384
32945,Not Fit,5,2,2,16,16,128,171,98062,32013,384
32946,Not Fit,8,2,2,16,16,64,171,98063,32014,384
32944,Not Fit,11,2,2,16,16,32,171,98062,32009,384
39429,Not Fit,5,2,2,16,16,128,171,98063,32016,384
39430,Not Fit,8,2,2,16,16,64,171,98063,32014,384
39428,Not Fit,11,2,2,16,16,32,171,98063,32012,384
18752,Not Fit,5,2,2,16,16,128,171,98065,32005,383
18753,Not Fit,8,2,2,16,16,64,171,98063,32014,384
18751,Not Fit,11,2,2,16,16,32,171,98063,32012,384
27703,Not Fit,5,2,2,16,16,128,171,98062,32013,384
27704,Not Fit,8,2,2,16,16,64,171,98063,32014,384
27702,Not Fit,11,2,2,16,16,32,171,98062,32009,384
22557,Not Fit,5,2,2,16,16,128,171,98062,32013,384
22558,Not Fit,8,2,2,16,16,64,171,98063,32014,384
22556,Not Fit,11,2,2,16,16,32,171,98062,32009,384
36984,Not Fit,5,2,2,16,16,256,171,98063,32018,384
36985,Not Fit,8,2,2,16,16,128,171,98062,32013,384
36983,Not Fit,11,2,2,16,16,64,171,98063,32014,384
8445,Not Fit,5,2,2,16,16,256,171,98063,32018,384
8446,Not Fit,8,2,2,16,16,128,171,98063,32016,384
8444,Not Fit,11,2,2,16,16,64,171,98063,32014,384
46854,Not Fit,5,2,2,16,16,256,171,98063,32018,384
46855,Not Fit,8,2,2,16,16,128,171,98063,32016,384
46853,Not Fit,11,2,2,16,16,64,171,98063,32014,384
31955,Not Fit,5,2,2,16,16,256,171,98063,32018,384
31956,Not Fit,8,2,2,16,16,128,171,98063,32016,384
31954,Not Fit,11,2,2,16,16,64,171,98063,32014,384
19922,Not Fit,5,2,2,16,16,256,171,98063,32018,384
19923,Not Fit,8,2,2,16,16,128,171,98062,32012,384
19921,Not Fit,11,2,2,16,16,64,171,98063,32014,384
17782,Not Fit,2,4,3,1,16,128,0,4758.89285714286,2594.42857142857,16
25537,Not Fit,2,4,3,1,16,256,0,4762,2597.33333333333,16
12508,Not Fit,2,4,3,1,16,512,0,4762.75,2597,16
38226,Not Fit,2,4,3,1,32,128,14,9051.33333333333,4406.16666666667,32
32039,Not Fit,2,4,3,1,32,256,14,9054,4412,32
10595,Not Fit,5,4,4,16,16,128,86,54201.5,17683,192
10596,Not Fit,8,4,4,16,16,64,86,54201,17684,192
10594,Not Fit,11,4,4,16,16,32,86,54201,17682,192
16382,Not Fit,5,4,4,16,16,128,86,54201,17686,192
16383,Not Fit,8,4,4,16,16,64,86,54201,17684,192
