model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_dense_latency,n_inputs_latency,sequence_length_latency,dense_size_latency,reuse_factor_1,latency_min,latency_max
19005,Not Fit,17,1,1,16,1,16,1,11,11
43119,Not Fit,18,1,1,16,1,1,1,11,11
43113,Not Fit,16,1,1,64,1,16,1,44,44
19001,Not Fit,15,1,1,128,1,16,1,76,76
16932,Not Fit,17,2,2,16,1,16,2,6,7
16934,Not Fit,19,2,2,16,1,1,2,6,7
49191,Not Fit,21,2,2,16,1,16,2,6,7
30546,Not Fit,17,2,2,16,1,1,2,6,7
16217,Not Fit,21,2,2,16,1,16,2,6,7
16219,Not Fit,23,2,2,16,1,1,2,6,7
32949,Not Fit,18,2,2,16,1,16,2,6,7
32951,Not Fit,20,2,2,16,1,1,2,6,7
39433,Not Fit,18,2,2,16,1,16,2,6,7
18758,Not Fit,19,2,2,16,1,1,2,6,7
22562,Not Fit,23,2,2,16,1,16,2,6,7
36989,Not Fit,18,2,2,16,1,1,2,6,7
8451,Not Fit,22,2,2,16,1,16,2,6,7
46860,Not Fit,19,2,2,16,1,1,2,6,7
19927,Not Fit,19,2,2,16,1,16,2,6,7
19929,Not Fit,21,2,2,16,1,1,2,6,7
1393,Not Fit,18,2,2,32,1,1,2,6,7
27703,Not Fit,19,2,2,32,1,32,2,6,7
31961,Not Fit,19,2,2,32,1,1,2,6,7
1387,Not Fit,16,2,2,64,1,32,2,16,17
18751,Not Fit,17,2,2,64,1,16,2,16,17
27702,Not Fit,17,2,2,64,1,32,2,16,17
22556,Not Fit,17,2,2,64,1,16,2,16,17
29529,Not Fit,15,2,2,128,1,32,2,16,17
16928,Not Fit,15,2,2,128,1,16,2,16,17
8980,Not Fit,15,2,2,128,1,32,2,16,17
30541,Not Fit,15,2,2,128,1,16,2,16,17
47799,Not Fit,15,2,2,128,1,32,2,16,17
46853,Not Fit,17,2,2,128,1,16,2,20.8,21.8
31954,Not Fit,17,2,2,128,1,32,2,24,25
19921,Not Fit,17,2,2,128,1,16,2,24,25
40223,Not Fit,12,4,4,16,1,16,4,9,10
15617,Not Fit,13,4,4,16,1,1,4,9,10
30777,Not Fit,17,4,4,16,1,16,4,9,10
45978,Not Fit,13,4,4,16,1,1,4,9,10
16331,Not Fit,13,4,4,16,1,16,4,9,10
10599,Not Fit,17,4,4,16,1,1,4,9,10
36108,Not Fit,21,4,4,16,1,16,4,9,10
27843,Not Fit,17,4,4,16,1,1,4,9,10
13188,Not Fit,21,4,4,16,1,16,4,9,10
13190,Not Fit,23,4,4,16,1,1,4,9,10
39726,Not Fit,17,4,4,16,1,16,4,9,10
25822,Not Fit,18,4,4,16,1,1,4,9,10
19514,Not Fit,22,4,4,16,1,16,4,9,10
31135,Not Fit,18,4,4,16,1,1,4,9,10
15732,Not Fit,22,4,4,16,1,16,4,9,10
15735,Not Fit,24,4,4,16,1,1,4,9,10
41660,Not Fit,18,4,4,16,1,16,4,9,10
41662,Not Fit,20,4,4,16,1,1,4,9,10
8729,Not Fit,19,4,4,16,1,16,4,9,10
22058,Not Fit,19,4,4,16,1,1,4,9,10
17785,Not Fit,23,4,4,16,1,16,4,9,10
1531,Not Fit,19,4,4,16,1,1,4,9,10
38234,Not Fit,23,4,4,16,1,16,4,9,10
38236,Not Fit,25,4,4,16,1,1,4,9,10
6170,Not Fit,17,4,4,16,1,16,4,9,10
29749,Not Fit,17,4,4,16,1,1,4,9,10
15300,Not Fit,21,4,4,16,1,16,4,9,10
15302,Not Fit,23,4,4,16,1,1,4,9,10
22113,Not Fit,18,4,4,16,1,16,4,9,10
27529,Not Fit,18,4,4,16,1,1,4,9,10
12468,Not Fit,22,4,4,16,1,16,4,9,10
38462,Not Fit,18,4,4,16,1,1,4,9,10
2107,Not Fit,22,4,4,16,1,16,4,9,10
43485,Not Fit,19,4,4,16,1,1,4,9,10
12511,Not Fit,19,4,4,16,1,16,4,9,10
12513,Not Fit,21,4,4,16,1,1,4,9,10
40856,Not Fit,17,4,4,32,1,32,4,8,9
40861,Not Fit,19,4,4,32,1,1,4,8,9
18663,Not Fit,17,4,4,32,1,32,4,8,9
5841,Not Fit,17,4,4,32,1,1,4,8,9
34912,Not Fit,21,4,4,32,1,32,4,8,9
34917,Not Fit,23,4,4,32,1,1,4,8,9
13928,Not Fit,18,4,4,32,1,32,4,8,9
13934,Not Fit,20,4,4,32,1,1,4,8,9
21316,Not Fit,18,4,4,32,1,32,4,8,9
41901,Not Fit,19,4,4,32,1,1,4,8,9
3413,Not Fit,23,4,4,32,1,32,4,8,9
12283,Not Fit,18,4,4,32,1,1,4,8,9
43559,Not Fit,18,4,4,32,1,32,4,8,9
43565,Not Fit,20,4,4,32,1,1,4,8,9
27399,Not Fit,22,4,4,32,1,32,4,8,9
27405,Not Fit,24,4,4,32,1,1,4,8,9
48744,Not Fit,23,4,4,32,1,32,4,8,9
48751,Not Fit,25,4,4,32,1,1,4,8,9
41479,Not Fit,17,4,4,64,1,1,4,8,9
25816,Not Fit,16,4,4,64,1,16,4,18,19
33458,Not Fit,16,4,4,64,1,64,4,18,19
33463,Not Fit,18,4,4,64,1,1,4,8,9
13927,Not Fit,16,4,4,64,1,32,4,18,19
19507,Not Fit,16,4,4,64,1,16,4,18,19
41894,Not Fit,17,4,4,64,1,32,4,18,19
8723,Not Fit,17,4,4,64,1,16,4,18,19
3410,Not Fit,17,4,4,64,1,32,4,18,19
38230,Not Fit,17,4,4,64,1,16,4,18,19
10594,Not Fit,15,4,4,128,1,16,4,18,19
16381,Not Fit,15,4,4,128,1,64,4,18,19
40855,Not Fit,15,4,4,128,1,32,4,18,19
27838,Not Fit,15,4,4,128,1,16,4,18,19
41475,Not Fit,15,4,4,128,1,64,4,18,19
18662,Not Fit,15,4,4,128,1,32,4,18,19
13182,Not Fit,15,4,4,128,1,16,4,18,19
5836,Not Fit,15,4,4,128,1,32,4,18,19
39722,Not Fit,15,4,4,128,1,16,4,18,19
34909,Not Fit,15,4,4,128,1,32,4,18,19
31130,Not Fit,16,4,4,128,1,16,4,18,19
21314,Not Fit,16,4,4,128,1,32,4,18,19
22053,Not Fit,17,4,4,128,1,16,4,18,19
43581,Not Fit,17,4,4,128,1,32,4,18,19
17781,Not Fit,17,4,4,128,1,16,4,18,19
12277,Not Fit,16,4,4,128,1,32,4,26,27
22108,Not Fit,16,4,4,128,1,16,4,26,27
27396,Not Fit,16,4,4,128,1,32,4,26,27
7736,Not Fit,17,4,4,128,1,16,4,26,27
48741,Not Fit,17,4,4,128,1,32,4,26,27
32042,Not Fit,16,4,4,128,1,16,4,26,27
12505,Not Fit,17,4,4,256,1,16,4,34,35
44312,Not Fit,8,16,16,16,1,1,16,21,22
10879,Not Fit,12,16,16,16,1,16,16,20,21
38302,Not Fit,8,16,16,16,1,1,16,21,22
7458,Not Fit,8,16,16,16,1,16,16,20,21
42146,Fit,9,16,16,16,1,1,16,21,22
13877,Fit,13,16,16,16,1,16,16,20,21
47200,Fit,10,16,16,16,1,1,16,21,22
17598,Not Fit,14,16,16,16,1,16,16,20,21
20407,Not Fit,10,16,16,16,1,1,16,21,22
49669,Fit,9,16,16,16,1,16,16,20,21
49671,Fit,11,16,16,16,1,1,16,21,22
32795,Not Fit,13,16,16,16,1,16,16,20,21
32797,Not Fit,15,16,16,16,1,1,16,21,22
41118,Not Fit,14,16,16,16,1,16,16,20,21
41120,Not Fit,16,16,16,16,1,1,16,21,22
8285,Not Fit,10,16,16,16,1,16,16,20,21
20594,Fit,11,16,16,16,1,1,16,21,22
31319,Fit,11,16,16,16,1,16,16,20,21
31321,Fit,13,16,16,16,1,1,16,21,22
46013,Fit,15,16,16,16,1,16,16,20,21
2421,Fit,11,16,16,16,1,1,16,21,22
32518,Fit,11,16,16,16,1,16,16,20,21
48601,Fit,11,16,16,16,1,1,16,21,22
3203,Fit,15,16,16,16,1,16,16,20,21
17030,Fit,12,16,16,16,1,1,16,21,22
28778,Fit,12,16,16,16,1,16,16,20,21
28780,Fit,14,16,16,16,1,1,16,21,22
47331,Fit,16,16,16,16,1,16,16,20,21
47333,Fit,18,16,16,16,1,1,16,21,22
22773,Not Fit,16,16,16,16,1,16,16,20,21
22775,Not Fit,18,16,16,16,1,1,16,21,22
13447,Not Fit,12,16,16,16,1,16,16,20,21
13651,Fit,13,16,16,16,1,1,16,21,22
