model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_dense_resource,n_inputs_resources,sequence_length_resource,dense_size_resource,bram_18k,lut,ff,dsp48e
19006,Not Fit,17,1,1,16,1,16,0,58131,13498,159
43117,Not Fit,18,1,1,16,1,1,0,4122,2181.5,12.5
43118,Not Fit,16,1,1,64,1,16,0,237705,53871,500
19005,Not Fit,15,1,1,128,1,16,0,485118,113751,885
16933,Not Fit,17,2,2,16,1,16,57,33536,10974,128
16934,Not Fit,19,2,2,16,1,1,0,3042,1947,8
49193,Not Fit,21,2,2,16,1,16,57,33536,10976,128
30546,Not Fit,17,2,2,16,1,1,0,3042,1952.5,8
16218,Not Fit,21,2,2,16,1,16,57,33536,10977,128
16219,Not Fit,23,2,2,16,1,1,0,3042,1954,8
32948,Not Fit,18,2,2,16,1,16,57,33536,10977,128
32949,Not Fit,20,2,2,16,1,1,0,3042,1951,8
39433,Not Fit,18,2,2,16,1,16,57,33535,10971,128
18755,Not Fit,19,2,2,16,1,1,0,3042,1951,8
22562,Not Fit,23,2,2,16,1,16,57,33535.6666666667,10974,128
36987,Not Fit,18,2,2,16,1,1,0,3042,1949,8
8450,Not Fit,22,2,2,16,1,16,57,33536,10977,128
46857,Not Fit,19,2,2,16,1,1,0,3042,1951,8
19925,Not Fit,19,2,2,16,1,16,57,33536,10977,128
19926,Not Fit,21,2,2,16,1,1,0,3042,1951,8
1391,Not Fit,18,2,2,32,1,1,0,5901.25,3880.5,16
27707,Not Fit,19,2,2,32,1,32,228,131199,42891,512
31958,Not Fit,19,2,2,32,1,1,0,5902,3885,16
1392,Not Fit,16,2,2,64,1,32,455,260969,87193,1024
18756,Not Fit,17,2,2,64,1,16,228,132024.5,45927,512
27708,Not Fit,17,2,2,64,1,32,455,260968,87190,1024
22564,Not Fit,17,2,2,64,1,16,228,132025,45929,512
29533,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
16932,Not Fit,15,2,2,128,1,16,455,263425,92521,1024
8984,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
30545,Not Fit,15,2,2,128,1,16,455,263425,92504.5,1023.5
47803,Not Fit,15,2,2,128,1,32,910,520880,175766,2048
46858,Not Fit,17,2,2,128,1,16,455,263382.8,92519.8,1024
31959,Not Fit,17,2,2,128,1,32,910,520812,175771,2048
19927,Not Fit,17,2,2,128,1,16,455,263355,92520,1024
40222,Not Fit,12,4,4,16,1,16,29,21471,7588,64
15614,Not Fit,13,4,4,16,1,1,0,2191,1626,4
30775,Not Fit,17,4,4,16,1,16,29,21471,7591,64
45975,Not Fit,13,4,4,16,1,1,0,2191,1621.66666666667,4
16329,Not Fit,13,4,4,16,1,16,29,21471,7591,64
10599,Not Fit,17,4,4,16,1,1,0,2191,1622.5,4
36109,Not Fit,21,4,4,16,1,16,29,21471,7591,64
27843,Not Fit,17,4,4,16,1,1,0,2191,1623,4
13189,Not Fit,21,4,4,16,1,16,29,21471,7591,64
13190,Not Fit,23,4,4,16,1,1,0,2191,1623,4
39727,Not Fit,17,4,4,16,1,16,29,21471,7591,64
25820,Not Fit,18,4,4,16,1,1,0,2191,1624.5,4
19513,Not Fit,22,4,4,16,1,16,29,21471,7591,64
31134,Not Fit,18,4,4,16,1,1,0,2191,1626,4
15733,Not Fit,22,4,4,16,1,16,29,21471,7590,64
15734,Not Fit,24,4,4,16,1,1,0,2191,1626,4
41659,Not Fit,18,4,4,16,1,16,29,21471,7591,64
41660,Not Fit,20,4,4,16,1,1,0,2191,1626,4
8727,Not Fit,19,4,4,16,1,16,29,21471,7591,64
22056,Not Fit,19,4,4,16,1,1,0,2191,1626,4
17786,Not Fit,23,4,4,16,1,16,29,21471,7589,64
1528,Not Fit,19,4,4,16,1,1,0,2191,1625,4
38232,Not Fit,23,4,4,16,1,16,29,21471,7591,64
38233,Not Fit,25,4,4,16,1,1,0,2191,1626,4
6171,Not Fit,17,4,4,16,1,16,29,21471,7591,64
29749,Not Fit,17,4,4,16,1,1,0,2191,1621,4
15301,Not Fit,21,4,4,16,1,16,29,21471,7590,64
15302,Not Fit,23,4,4,16,1,1,0,2191,1623,4
22112,Not Fit,18,4,4,16,1,16,29,21471,7591,64
27528,Not Fit,18,4,4,16,1,1,0,2191,1622.5,4
12469,Not Fit,22,4,4,16,1,16,29,21470.6666666667,7589,64
38460,Not Fit,18,4,4,16,1,1,0,2191,1624.8,4
2106,Not Fit,22,4,4,16,1,16,29,21471,7590,64
43482,Not Fit,19,4,4,16,1,1,0,2191,1623,4
12509,Not Fit,19,4,4,16,1,16,29,21471,7591,64
12510,Not Fit,21,4,4,16,1,1,0,2191,1626,4
40861,Not Fit,17,4,4,32,1,32,114,105834,25232,256
40860,Not Fit,19,4,4,32,1,1,0,4877,2978,8
18668,Not Fit,17,4,4,32,1,32,114,105835,25238,256
5841,Not Fit,17,4,4,32,1,1,0,4877,2978,8
34917,Not Fit,21,4,4,32,1,32,114,105835,25237,256
34914,Not Fit,23,4,4,32,1,1,0,4877,2978,8
13932,Not Fit,18,4,4,32,1,32,114,105835,25238,256
13931,Not Fit,20,4,4,32,1,1,0,4877,2978,8
21320,Not Fit,18,4,4,32,1,32,114,105835,25235,256
41898,Not Fit,19,4,4,32,1,1,0,4877,2976,8
3417,Not Fit,23,4,4,32,1,32,114,105835,25235,256
12281,Not Fit,18,4,4,32,1,1,0,4877,2978,8
43563,Not Fit,18,4,4,32,1,32,114,105835,25235,256
43562,Not Fit,20,4,4,32,1,1,0,4877,2978,8
27403,Not Fit,22,4,4,32,1,32,114,105835,25237,256
27400,Not Fit,24,4,4,32,1,1,0,4877,2978,8
48748,Not Fit,23,4,4,32,1,32,114,105835,25236,256
48745,Not Fit,25,4,4,32,1,1,0,4877,2978,8
41480,Not Fit,17,4,4,64,1,1,0,11477,5936,16
25821,Not Fit,16,4,4,64,1,16,114,83876,28270,256
33463,Not Fit,16,4,4,64,1,64,455,540851,100603,1024
33462,Not Fit,18,4,4,64,1,1,0,11477,5938,16
13933,Not Fit,16,4,4,64,1,32,228,210260,52382,512
19515,Not Fit,16,4,4,64,1,16,114,83876,28270,256
41899,Not Fit,17,4,4,64,1,32,228,210260,52382,512
8729,Not Fit,17,4,4,64,1,16,114,83876,28270,256
3418,Not Fit,17,4,4,64,1,32,228,210260,52382,512
38234,Not Fit,17,4,4,64,1,16,114,83876,28273,256
10598,Not Fit,15,4,4,128,1,16,228,167184,57708,512
16385,Not Fit,15,4,4,128,1,64,910,1079840,206076,2048
40859,Not Fit,15,4,4,128,1,32,455,419523,107139,1024
27842,Not Fit,15,4,4,128,1,16,228,167184,57708,512
41479,Not Fit,15,4,4,128,1,64,910,1079840,206076,2048
18666,Not Fit,15,4,4,128,1,32,455,419520,107164,1024
13186,Not Fit,15,4,4,128,1,16,228,167184,57708,512
5840,Not Fit,15,4,4,128,1,32,455,419520,107164,1024
39726,Not Fit,15,4,4,128,1,16,228,167184,57708,512
